phase,model,model_slug,question_id,question_title,contest_date,platform,difficulty,samples,correct_samples,questions_with_any_correct_sample,pass_at_1,pass_at_5,generation_duration_seconds
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1873_A,A. Short Sort,2023-08-21T00:00:00,codeforces,easy,1,1,1,1.0,,0.7221496709998974
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1873_B,B. Good Kid,2023-08-21T00:00:00,codeforces,easy,1,0,0,0.0,,1.7067134409999198
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1873_D,D. 1D Eraser,2023-08-21T00:00:00,codeforces,easy,1,1,1,1.0,,1.6191748649998772
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1883_B,B. Chemistry,2023-09-22T00:00:00,codeforces,medium,1,0,0,0.0,,2.2348176330006027
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1883_C,C. Raspberries,2023-09-22T00:00:00,codeforces,medium,1,0,0,0.0,,2.1511621459994785
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1899_A,A. Game with Integers,2023-10-17T00:00:00,codeforces,easy,1,1,1,1.0,,1.8761920010001631
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1899_B,B. 250 Thousand Tons of TNT,2023-10-17T00:00:00,codeforces,hard,1,1,1,1.0,,2.603798636000647
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1899_C,C. Yarik and Array,2023-10-17T00:00:00,codeforces,hard,1,0,0,0.0,,2.2682794759994067
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,1899_D,D. Yarik and Musical Notes,2023-10-17T00:00:00,codeforces,hard,1,0,0,0.0,,1.6368185139999696
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2727,number-of-senior-citizens,2023-05-13T00:00:00,leetcode,easy,1,1,1,1.0,,0.8226787200001127
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2728,sum-in-a-matrix,2023-05-13T00:00:00,leetcode,medium,1,1,1,1.0,,1.4952008640002532
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2730,maximum-or,2023-05-13T00:00:00,leetcode,medium,1,0,0,0.0,,1.2345172579998689
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2754,maximum-strength-of-a-group,2023-05-27T00:00:00,leetcode,medium,1,1,1,1.0,,1.2412817389995325
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2755,extra-characters-in-a-string,2023-05-27T00:00:00,leetcode,medium,1,1,1,1.0,,1.4007636369997272
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2756,buy-two-chocolates,2023-05-27T00:00:00,leetcode,easy,1,1,1,1.0,,1.4928014010001789
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2757,count-of-integers,2023-06-04T00:00:00,leetcode,hard,1,0,0,0.0,,1.2944834750005612
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2777,find-the-distinct-difference-array,2023-05-07T00:00:00,leetcode,easy,1,1,1,1.0,,1.0315995350001685
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2779,number-of-adjacent-elements-with-the-same-color,2023-05-07T00:00:00,leetcode,medium,1,0,0,0.0,,1.8586422829994262
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2784,power-of-heroes,2023-05-13T00:00:00,leetcode,hard,1,0,0,0.0,,1.4904333470003621
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2785,semi-ordered-permutation,2023-06-04T00:00:00,leetcode,easy,1,0,0,0.0,,0.9289693619994068
benchmark,ollama/rnj-1:latest,ollama_rnj-1_latest,2786,find-the-longest-semi-repetitive-substring,2023-06-10T00:00:00,leetcode,medium,1,1,1,1.0,,1.6141589899998507
